10.0
SigS , SigT , Q
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
0.5  , 0.6  , 1.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
1.0  , 10.0 , 0.0
